Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-06
Sample Interval,1.6e-08
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.00985
Label,
TIME,CH1
2.581e-05,-0.0802883
2.582e-05,-0.080376
2.584e-05,-0.0803668
2.586e-05,-0.0802713
2.587e-05,-0.0803237
2.589e-05,-0.0802806
2.590e-05,-0.0803991
2.592e-05,-0.0803698
2.594e-05,-0.080396
2.595e-05,-0.0803545
2.597e-05,-0.0803637
2.598e-05,-0.0804222
2.600e-05,-0.0803975
2.602e-05,-0.0804191
2.603e-05,-0.0804914
2.605e-05,-0.0803375
2.606e-05,-0.0804006
2.608e-05,-0.0803837
2.610e-05,-0.0805391
2.611e-05,-0.0804822
2.613e-05,-0.0805161
2.614e-05,-0.0803929
2.616e-05,-0.0803868
2.618e-05,-0.0804776
2.619e-05,-0.0804991
2.621e-05,-0.0804991
2.622e-05,-0.0804791
2.624e-05,-0.0803914
2.626e-05,-0.0805438
2.627e-05,-0.0805253
2.629e-05,-0.0805376
2.630e-05,-0.0805007
2.632e-05,-0.0805314
2.634e-05,-0.0804868
2.635e-05,-0.0805268
2.637e-05,-0.080473
2.638e-05,-0.0805622
2.640e-05,-0.0805084
2.642e-05,-0.0805284
2.643e-05,-0.080436
2.645e-05,-0.0805484
2.646e-05,-0.0805407
2.648e-05,-0.0805207
2.650e-05,-0.0804745
2.651e-05,-0.0804268
2.653e-05,-0.0805007
2.654e-05,-0.0805191
2.656e-05,-0.0805545
2.658e-05,-0.0805314
2.659e-05,-0.080476
2.661e-05,-0.0803714
2.662e-05,-0.0805438
2.664e-05,-0.0805114
2.666e-05,-0.080496
2.667e-05,-0.0803852
2.669e-05,-0.0804206
2.670e-05,-0.0804376
2.672e-05,-0.0805792
2.674e-05,-0.0804314
2.675e-05,-0.0804391
2.677e-05,-0.0804345
2.678e-05,-0.080436
2.680e-05,-0.0803591
2.682e-05,-0.0804437
2.683e-05,-0.0804391
2.685e-05,-0.0805207
2.686e-05,-0.0803344
2.688e-05,-0.0804145
2.690e-05,-0.0803314
2.691e-05,-0.0803822
2.693e-05,-0.080416
2.694e-05,-0.0804606
2.696e-05,-0.0803668
2.698e-05,-0.0803529
2.699e-05,-0.0803498
2.701e-05,-0.0804791
2.702e-05,-0.0803391
2.704e-05,-0.0804006
2.706e-05,-0.0803652
2.707e-05,-0.0804222
2.709e-05,-0.0803975
2.710e-05,-0.0804268
2.712e-05,-0.0803329
2.714e-05,-0.0803314
2.715e-05,-0.0803344
2.717e-05,-0.0804391
2.718e-05,-0.0803991
2.720e-05,-0.0804637
2.722e-05,-0.0803298
2.723e-05,-0.0804006
2.725e-05,-0.0803191
2.726e-05,-0.0804329
2.728e-05,-0.0803806
2.730e-05,-0.0803883
2.731e-05,-0.0804591
2.733e-05,-0.0803945
2.734e-05,-0.0804745
2.736e-05,-0.0802944
2.738e-05,-0.0802498
2.739e-05,-0.0804022
2.741e-05,-0.0804176
2.742e-05,-0.080453
2.744e-05,-0.0804837
2.746e-05,-0.0803529
2.747e-05,-0.0804022
2.749e-05,-0.0803621
2.750e-05,-0.0804483
2.752e-05,-0.080356
2.754e-05,-0.0804022
2.755e-05,-0.0803437
2.757e-05,-0.0804114
2.758e-05,-0.0804068
2.760e-05,-0.0803914
2.762e-05,-0.080259
2.763e-05,-0.0804391
2.765e-05,-0.0803144
2.766e-05,-0.0804622
2.768e-05,-0.0802944
2.770e-05,-0.080356
2.771e-05,-0.0802575
2.773e-05,-0.0803852
2.774e-05,-0.0803252
2.776e-05,-0.0803329
2.778e-05,-0.0803314
2.779e-05,-0.0804299
2.781e-05,-0.0803822
2.782e-05,-0.080336
2.784e-05,-0.0803098
2.786e-05,-0.0804145
2.787e-05,-0.0803421
2.789e-05,-0.0804422
2.790e-05,-0.0803652
2.792e-05,-0.0803098
2.794e-05,-0.0803067
2.795e-05,-0.0803529
2.797e-05,-0.080376
2.798e-05,-0.0803421
2.800e-05,-0.0802713
2.802e-05,-0.0804037
2.803e-05,-0.0804129
2.805e-05,-0.0803191
2.806e-05,-0.0803714
2.808e-05,-0.0803775
2.810e-05,-0.0803098
2.811e-05,-0.0802837
2.813e-05,-0.0802144
2.814e-05,-0.0803483
2.816e-05,-0.080416
2.818e-05,-0.0804606
2.819e-05,-0.0803344
2.821e-05,-0.0803606
2.822e-05,-0.0803206
2.824e-05,-0.0804545
2.826e-05,-0.0803975
2.827e-05,-0.080199
2.829e-05,-0.0803344
2.830e-05,-0.0803083
2.832e-05,-0.080533
2.834e-05,-0.0804022
2.835e-05,-0.0803945
2.837e-05,-0.080256
2.838e-05,-0.0803545
2.840e-05,-0.0803806
2.842e-05,-0.0804376
2.843e-05,-0.0803899
2.845e-05,-0.0803822
2.846e-05,-0.0802867
2.848e-05,-0.0803852
2.850e-05,-0.0804268
2.851e-05,-0.0806022
2.853e-05,-0.0803975
2.854e-05,-0.0802929
2.856e-05,-0.0802713
2.858e-05,-0.0805468
2.859e-05,-0.080416
2.861e-05,-0.0805176
2.862e-05,-0.0803391
2.864e-05,-0.0804022
2.866e-05,-0.0803745
2.867e-05,-0.0804791
2.869e-05,-0.0804853
2.870e-05,-0.0804683
2.872e-05,-0.0804145
2.874e-05,-0.0803606
2.875e-05,-0.0804514
2.877e-05,-0.0805145
2.878e-05,-0.0803806
2.880e-05,-0.0804006
2.882e-05,-0.0804083
2.883e-05,-0.0805607
2.885e-05,-0.0804637
2.886e-05,-0.080299
2.888e-05,-0.0803729
2.890e-05,-0.0803652
2.891e-05,-0.0805268
2.893e-05,-0.0804622
2.894e-05,-0.080436
2.896e-05,-0.0804222
2.898e-05,-0.0803883
2.899e-05,-0.0805792
2.901e-05,-0.0804545
2.902e-05,-0.0804868
2.904e-05,-0.0803329
2.906e-05,-0.0803991
2.907e-05,-0.0804499
2.909e-05,-0.0805484
2.910e-05,-0.0804037
2.912e-05,-0.0804237
2.914e-05,-0.0803929
2.915e-05,-0.0804499
2.917e-05,-0.0804899
2.918e-05,-0.0804145
2.920e-05,-0.080476
2.922e-05,-0.0803421
2.923e-05,-0.0804345
2.925e-05,-0.0803283
2.926e-05,-0.080476
2.928e-05,-0.0803975
2.930e-05,-0.0804006
2.931e-05,-0.0803344
2.933e-05,-0.0803514
2.934e-05,-0.080416
2.936e-05,-0.0804453
2.938e-05,-0.0803129
2.939e-05,-0.0804406
2.941e-05,-0.0802683
2.942e-05,-0.0804391
2.944e-05,-0.0802544
2.946e-05,-0.0803683
2.947e-05,-0.0803529
2.949e-05,-0.0803899
2.950e-05,-0.0804514
2.952e-05,-0.080453
2.954e-05,-0.0804437
2.955e-05,-0.0803668
2.957e-05,-0.0802729
2.958e-05,-0.0804176
2.960e-05,-0.0804483
2.962e-05,-0.0804099
2.963e-05,-0.0803252
2.965e-05,-0.080376
2.966e-05,-0.0803391
2.968e-05,-0.0803052
2.970e-05,-0.0803775
2.971e-05,-0.0804468
2.973e-05,-0.0802929
2.974e-05,-0.0803945
2.976e-05,-0.0802529
2.978e-05,-0.0803591
2.979e-05,-0.080316
2.981e-05,-0.080456
2.982e-05,-0.0803329
2.984e-05,-0.0804176
2.986e-05,-0.080456
2.987e-05,-0.0803729
2.989e-05,-0.0802914
2.990e-05,-0.0802914
2.992e-05,-0.080396
2.994e-05,-0.0804268
2.995e-05,-0.0804068
2.997e-05,-0.0803391
2.998e-05,-0.0802775
3.000e-05,-0.080456
3.002e-05,-0.0805191
3.003e-05,-0.0803822
3.005e-05,-0.080256
3.006e-05,-0.0803021
3.008e-05,-0.0804868
3.010e-05,-0.080513
3.011e-05,-0.0804268
3.013e-05,-0.0802683
3.014e-05,-0.0803437
3.016e-05,-0.0803006
3.018e-05,-0.0804807
3.019e-05,-0.0804514
3.021e-05,-0.0804668
3.022e-05,-0.0804499
3.024e-05,-0.0804868
3.026e-05,-0.0803529
3.027e-05,-0.0803683
3.029e-05,-0.0804422
3.030e-05,-0.0805453
3.032e-05,-0.0804222
3.034e-05,-0.0804745
3.035e-05,-0.0803606
3.037e-05,-0.0805207
3.038e-05,-0.0804745
3.040e-05,-0.0804884
3.042e-05,-0.0804114
3.043e-05,-0.0804976
3.045e-05,-0.0803683
3.046e-05,-0.0804699
3.048e-05,-0.0803545
3.050e-05,-0.0804745
3.051e-05,-0.0804807
3.053e-05,-0.0806284
3.054e-05,-0.080513
3.056e-05,-0.0803391
3.058e-05,-0.0802806
3.059e-05,-0.0804468
3.061e-05,-0.080496
3.062e-05,-0.0805299
3.064e-05,-0.0804037
3.066e-05,-0.0804714
3.067e-05,-0.0804006
3.069e-05,-0.0804145
3.070e-05,-0.0805007
3.072e-05,-0.0804453
3.074e-05,-0.0803652
3.075e-05,-0.0804253
3.077e-05,-0.0804083
3.078e-05,-0.0804253
3.080e-05,-0.0803991
3.082e-05,-0.0804206
3.083e-05,-0.0804222
3.085e-05,-0.080336
3.086e-05,-0.0804683
3.088e-05,-0.0804683
3.090e-05,-0.0803529
3.091e-05,-0.0804668
3.093e-05,-0.0802867
3.094e-05,-0.0803837
3.096e-05,-0.0804591
3.098e-05,-0.0803668
3.099e-05,-0.0804683
3.101e-05,-0.080239
3.102e-05,-0.0804191
3.104e-05,-0.0803745
3.106e-05,-0.0804914
3.107e-05,-0.0803483
3.109e-05,-0.0802344
3.110e-05,-0.0803437
3.112e-05,-0.0803868
3.114e-05,-0.0805114
3.115e-05,-0.0803268
3.117e-05,-0.0802483
3.118e-05,-0.080376
3.120e-05,-0.0804376
3.122e-05,-0.0805684
3.123e-05,-0.0804853
3.125e-05,-0.0803406
3.126e-05,-0.0802113
3.128e-05,-0.0804145
3.130e-05,-0.0804653
3.131e-05,-0.0804884
3.133e-05,-0.0803067
3.134e-05,-0.080376
3.136e-05,-0.0802421
3.138e-05,-0.080396
