Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-05
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-1.664e-04,0.000309375
-1.662e-04,0.00028125
-1.661e-04,0.00026875
-1.659e-04,0.00021875
-1.658e-04,0.00031875
-1.656e-04,0.000328125
-1.654e-04,0.00024375
-1.653e-04,0.0003875
-1.651e-04,0.00033125
-1.650e-04,0.0002875
-1.648e-04,0.000425
-1.646e-04,0.000328125
-1.645e-04,0.00018125
-1.643e-04,0.000453125
-1.642e-04,0.000384375
-1.640e-04,0.000453125
-1.638e-04,0.000434375
-1.637e-04,0.000403125
-1.635e-04,0.000353125
-1.634e-04,0.000328125
-1.632e-04,0.000375
-1.630e-04,0.00049375
-1.629e-04,0.000359375
-1.627e-04,0.000334375
-1.626e-04,0.0003
-1.624e-04,0.00045
-1.622e-04,0.000265625
-1.621e-04,0.000253125
-1.619e-04,0.0002125
-1.618e-04,0.000259375
-1.616e-04,0.000375
-1.614e-04,0.0005
-1.613e-04,0.00038125
-1.611e-04,0.000409375
-1.610e-04,0.000328125
-1.608e-04,0.000353125
-1.606e-04,0.000321875
-1.605e-04,0.000184375
-1.603e-04,0.000265625
-1.602e-04,0.000259375
-1.600e-04,0.000153125
-1.598e-04,0.000340625
-1.597e-04,0.000275
-1.595e-04,0.000265625
-1.594e-04,0.000228125
-1.592e-04,0.000334375
-1.590e-04,0.00034375
-1.589e-04,0.000371875
-1.587e-04,0.00035625
-1.586e-04,0.00021875
-1.584e-04,0.000234375
-1.582e-04,0.000409375
-1.581e-04,0.000321875
-1.579e-04,0.00029375
-1.578e-04,0.00063125
-1.576e-04,0.000471875
-1.574e-04,0.000334375
-1.573e-04,0.00034375
-1.571e-04,0.000190625
-1.570e-04,0.000303125
-1.568e-04,0.00021875
-1.566e-04,0.0003625
-1.565e-04,0.00046875
-1.563e-04,0.000465625
-1.562e-04,0.000534375
-1.560e-04,0.000659375
-1.558e-04,0.000509375
-1.557e-04,0.0004875
-1.555e-04,0.000475
-1.554e-04,0.000378125
-1.552e-04,0.00044375
-1.550e-04,0.0005625
-1.549e-04,0.0004625
-1.547e-04,0.00035
-1.546e-04,0.000640625
-1.544e-04,0.000578125
-1.542e-04,0.00040625
-1.541e-04,0.0003125
-1.539e-04,0.00029375
-1.538e-04,0.000209375
-1.536e-04,0.00035625
-1.534e-04,0.000240625
-1.533e-04,0.0003
-1.531e-04,0.000265625
-1.530e-04,0.0003125
-1.528e-04,0.00029375
-1.526e-04,0.000359375
-1.525e-04,0.0004
-1.523e-04,0.0002625
-1.522e-04,0.000175
-1.520e-04,-0.000390625
-1.518e-04,6.25e-05
-1.517e-04,0.000153125
-1.515e-04,-7.5e-05
-1.514e-04,-0.0006625
-1.512e-04,-0.00100312
-1.510e-04,-0.00150625
-1.509e-04,-0.00112187
-1.507e-04,0.0331781
-1.506e-04,0.0764281
-1.504e-04,0.0808
-1.502e-04,0.0808
-1.501e-04,0.0808
-1.499e-04,0.0808
-1.498e-04,0.0808
-1.496e-04,0.0808
-1.494e-04,0.0808
-1.493e-04,0.0808
-1.491e-04,0.0808469
-1.490e-04,0.0808
-1.488e-04,0.0808
-1.486e-04,0.0798312
-1.485e-04,0.0612781
-1.483e-04,0.0466594
-1.482e-04,0.0424531
-1.480e-04,0.0443812
-1.478e-04,0.0486625
-1.477e-04,0.0522156
-1.475e-04,0.0538781
-1.474e-04,0.0538781
-1.472e-04,0.0524312
-1.470e-04,0.050725
-1.469e-04,0.0491375
-1.467e-04,0.0479719
-1.466e-04,0.0475594
-1.464e-04,0.04725
-1.462e-04,0.0472469
-1.461e-04,0.0473969
-1.459e-04,0.0474375
-1.458e-04,0.0476344
-1.456e-04,0.0476625
-1.454e-04,0.0477125
-1.453e-04,0.04785
-1.451e-04,0.0478687
-1.450e-04,0.0480344
-1.448e-04,0.0483156
-1.446e-04,0.0482
-1.445e-04,0.0482281
-1.443e-04,0.048175
-1.442e-04,0.0481625
-1.440e-04,0.0481844
-1.438e-04,0.0482937
-1.437e-04,0.0483656
-1.435e-04,0.0482094
-1.434e-04,0.0482687
-1.432e-04,0.0482125
-1.430e-04,0.0484469
-1.429e-04,0.0482875
-1.427e-04,0.0483562
-1.426e-04,0.0481469
-1.424e-04,0.0481281
-1.422e-04,0.048
-1.421e-04,0.0480469
-1.419e-04,0.0480156
-1.418e-04,0.0479437
-1.416e-04,0.0481125
-1.414e-04,0.0480062
-1.413e-04,0.0481375
-1.411e-04,0.0479031
-1.410e-04,0.0478469
-1.408e-04,0.0477156
-1.406e-04,0.0479219
-1.405e-04,0.0475844
-1.403e-04,0.0477625
-1.402e-04,0.0476781
-1.400e-04,0.0475687
-1.398e-04,0.0477062
-1.397e-04,0.0475437
-1.395e-04,0.0475906
-1.394e-04,0.0477844
-1.392e-04,0.0477094
-1.390e-04,0.0476094
-1.389e-04,0.0476031
-1.387e-04,0.0478062
-1.386e-04,0.0478844
-1.384e-04,0.0478844
-1.382e-04,0.0480094
-1.381e-04,0.0480875
-1.379e-04,0.0481781
-1.378e-04,0.0482281
-1.376e-04,0.0482062
-1.374e-04,0.0482406
-1.373e-04,0.0483
-1.371e-04,0.0485656
-1.370e-04,0.0484094
-1.368e-04,0.048525
-1.366e-04,0.0485844
-1.365e-04,0.0486344
-1.363e-04,0.048675
-1.362e-04,0.0485594
-1.360e-04,0.0487906
-1.358e-04,0.0486844
-1.357e-04,0.0489094
-1.355e-04,0.0488562
-1.354e-04,0.0489469
-1.352e-04,0.0488437
-1.350e-04,0.0488469
-1.349e-04,0.0488812
-1.347e-04,0.0488344
-1.346e-04,0.04895
-1.344e-04,0.0488406
-1.342e-04,0.0489812
-1.341e-04,0.0488969
-1.339e-04,0.048825
-1.338e-04,0.0488656
-1.336e-04,0.0488531
-1.334e-04,0.0488469
-1.333e-04,0.0489844
-1.331e-04,0.0487531
-1.330e-04,0.0489406
-1.328e-04,0.048725
-1.326e-04,0.0488437
-1.325e-04,0.0488906
-1.323e-04,0.0487344
-1.322e-04,0.0488
-1.320e-04,0.0488656
-1.318e-04,0.0488
-1.317e-04,0.0487156
-1.315e-04,0.0488469
-1.314e-04,0.0487812
-1.312e-04,0.048775
-1.310e-04,0.0487187
-1.309e-04,0.0484687
-1.307e-04,0.0485156
-1.306e-04,0.0485531
-1.304e-04,0.0484625
-1.302e-04,0.0484844
-1.301e-04,0.04845
-1.299e-04,0.0484687
-1.298e-04,0.0483844
-1.296e-04,0.0483469
-1.294e-04,0.0483219
-1.293e-04,0.0481844
-1.291e-04,0.0483781
-1.290e-04,0.0484781
-1.288e-04,0.0483469
-1.286e-04,0.0482531
-1.285e-04,0.0482125
-1.283e-04,0.0482094
-1.282e-04,0.0483469
-1.280e-04,0.0481906
-1.278e-04,0.0480781
-1.277e-04,0.0480719
-1.275e-04,0.0479344
-1.274e-04,0.0478375
-1.272e-04,0.0478125
-1.270e-04,0.0477625
-1.269e-04,0.0477625
-1.267e-04,0.0477906
-1.266e-04,0.0476375
-1.264e-04,0.0477312
-1.262e-04,0.0476937
-1.261e-04,0.0476156
-1.259e-04,0.0475062
-1.258e-04,0.0473562
-1.256e-04,0.0474969
-1.254e-04,0.0473937
-1.253e-04,0.0473469
-1.251e-04,0.0472406
-1.250e-04,0.0473125
-1.248e-04,0.0472344
-1.246e-04,0.047175
-1.245e-04,0.0470844
-1.243e-04,0.0472219
-1.242e-04,0.0470906
-1.240e-04,0.0471
-1.238e-04,0.0470125
-1.237e-04,0.0469937
-1.235e-04,0.0470375
-1.234e-04,0.0469375
-1.232e-04,0.0467719
-1.230e-04,0.0468562
-1.229e-04,0.0468219
-1.227e-04,0.0469375
-1.226e-04,0.0467656
-1.224e-04,0.0468031
-1.222e-04,0.0467781
-1.221e-04,0.0466844
-1.219e-04,0.0466625
-1.218e-04,0.0465375
-1.216e-04,0.0465719
-1.214e-04,0.0466156
-1.213e-04,0.0465781
-1.211e-04,0.0464875
-1.210e-04,0.0465781
-1.208e-04,0.0463375
-1.206e-04,0.0463219
-1.205e-04,0.0463344
-1.203e-04,0.0462062
-1.202e-04,0.0461062
-1.200e-04,0.0460031
-1.198e-04,0.04595
-1.197e-04,0.0460187
-1.195e-04,0.0461219
-1.194e-04,0.0458969
-1.192e-04,0.0459125
-1.190e-04,0.0458344
-1.189e-04,0.0458375
-1.187e-04,0.04595
-1.186e-04,0.0459094
-1.184e-04,0.0457375
-1.182e-04,0.0457125
-1.181e-04,0.0456937
-1.179e-04,0.0455969
-1.178e-04,0.0457375
-1.176e-04,0.0455844
-1.174e-04,0.0455937
-1.173e-04,0.0457875
-1.171e-04,0.0458031
-1.170e-04,0.0457562
-1.168e-04,0.04565
-1.166e-04,0.0455469
-1.165e-04,0.0454031
-1.163e-04,0.045575
-1.162e-04,0.0455187
-1.160e-04,0.0455062
-1.158e-04,0.0454437
-1.157e-04,0.0455031
-1.155e-04,0.0454906
-1.154e-04,0.045575
-1.152e-04,0.0454062
-1.150e-04,0.0456187
-1.149e-04,0.0455094
-1.147e-04,0.0456187
-1.146e-04,0.0456781
-1.144e-04,0.0456469
-1.142e-04,0.0453969
-1.141e-04,0.0454187
-1.139e-04,0.0455625
-1.138e-04,0.0456406
-1.136e-04,0.0456687
-1.134e-04,0.0457187
-1.133e-04,0.0454875
-1.131e-04,0.0455719
-1.130e-04,0.045575
-1.128e-04,0.0454594
-1.126e-04,0.0454156
-1.125e-04,0.0454594
-1.123e-04,0.04555
-1.122e-04,0.0455531
-1.120e-04,0.0452687
-1.118e-04,0.0455937
-1.117e-04,0.0455937
-1.115e-04,0.0455125
-1.114e-04,0.0457375
-1.112e-04,0.0456781
-1.110e-04,0.045525
-1.109e-04,0.0454812
-1.107e-04,0.0454156
