Freq.	                 V(out)                    Fase                     BOOOOOODDDDEEEEEEEEE!!!!!!!!!!!!!!!!!!!!!
3.38844156139199e+04	(-5.96704339736273e+01dB,1.75288849652590e+01°)
3.46736850452528e+04	(-5.98535419323905e+01dB,1.71398748114462e+01°)
3.54813389233572e+04	(-6.00328298895047e+01dB,1.67584404010944e+01°)
3.63078054770098e+04	(-6.02082713785255e+01dB,1.63845140544463e+01°)
3.71535229097169e+04	(-6.03798456127123e+01dB,1.60180234371992e+01°)
3.80189396320557e+04	(-6.05475374521010e+01dB,1.56588918803491e+01°)
3.89045144994277e+04	(-6.07113373482781e+01dB,1.53070386944800e+01°)
3.98107170553493e+04	(-6.08712412674942e+01dB,1.49623794780953e+01°)
4.07380277804108e+04	(-6.10272505929229e+01dB,1.46248264196066e+01°)
4.16869383470331e+04	(-6.11793720070234e+01dB,1.42942885926018e+01°)
4.26579518801588e+04	(-6.13276173551112e+01dB,1.39706722440258e+01°)
4.36515832240161e+04	(-6.14720034913677e+01dB,1.36538810749168e+01°)
4.46683592150958e+04	(-6.16125521086353e+01dB,1.33438165133463e+01°)
4.57088189614870e+04	(-6.17492895534396e+01dB,1.30403779792277e+01°)
4.67735141287193e+04	(-6.18822466277568e+01dB,1.27434631406669e+01°)
4.78630092322633e+04	(-6.20114583791081e+01dB,1.24529681615486e+01°)
4.89778819368441e+04	(-6.21369638805972e+01dB,1.21687879400703e+01°)
5.01187233627267e+04	(-6.22588060025340e+01dB,1.18908163379610e+01°)
5.12861383991359e+04	(-6.23770311772877e+01dB,1.16189464001497e+01°)
5.24807460249767e+04	(-6.24916891589972e+01dB,1.13530705646791e+01°)
5.37031796370247e+04	(-6.26028327797388e+01dB,1.10930808626958e+01°)
5.49540873857619e+04	(-6.27105177037002e+01dB,1.08388691083848e+01°)
5.62341325190343e+04	(-6.28148021808539e+01dB,1.05903270787578e+01°)
5.75439937337151e+04	(-6.29157468015452e+01dB,1.03473466832430e+01°)
5.88843655355583e+04	(-6.30134142533315e+01dB,1.01098201230693e+01°)
6.02559586074351e+04	(-6.31078690813141e+01dB,9.87764004048081e+00°)
6.16595001861475e+04	(-6.31991774531060e+01dB,9.65069965785634e+00°)
6.30957344480186e+04	(-6.32874069294740e+01dB,9.42889290685498e+00°)
6.45654229034648e+04	(-6.33726262415878e+01dB,9.21211454774462e+00°)
6.60693448007589e+04	(-6.34549050756954e+01dB,9.00026027911006e+00°)
6.76082975391974e+04	(-6.35343138659387e+01dB,8.79322683817176e+00°)
6.91830970918929e+04	(-6.36109235959114e+01dB,8.59091209197854e+00°)
7.07945784384130e+04	(-6.36848056094560e+01dB,8.39321511976624e+00°)
7.24435960074982e+04	(-6.37560314310954e+01dB,8.20003628679962e+00°)
7.41310241300909e+04	(-6.38246725963938e+01dB,8.01127731003662e+00°)
7.58577575029175e+04	(-6.38908004924515e+01dB,7.82684131597169e+00°)
7.76247116628683e+04	(-6.39544862086486e+01dB,7.64663289102941e+00°)
7.94328234724272e+04	(-6.40158003976755e+01dB,7.47055812488979e+00°)
8.12830516164090e+04	(-6.40748131468099e+01dB,7.29852464713423e+00°)
8.31763771102661e+04	(-6.41315938593372e+01dB,7.13044165760413e+00°)
8.51138038202367e+04	(-6.41862111459485e+01dB,6.96621995086534e+00°)
8.70963589956071e+04	(-6.42387327258996e+01dB,6.80577193516883e+00°)
8.91250938133735e+04	(-6.42892253376662e+01dB,6.64901164629333e+00°)
9.12010839355899e+04	(-6.43377546587944e+01dB,6.49585475664831e+00°)
9.33254300796980e+04	(-6.43843852346077e+01dB,6.34621858000626e+00°)
9.54992586021425e+04	(-6.44291804154105e+01dB,6.20002207222217e+00°)
9.77237220955799e+04	(-6.44722023018028e+01dB,6.05718582828568e+00°)
1.00000000000000e+05	(-6.45135116977051e+01dB,5.91763207603712e+00°)
