Freq.	                 V(out)                    Fase                     BOOOOOODDDDEEEEEEEEE!!!!!!!!!!!!!!!!!!!!!
1.38038426460288e+02	(-7.60977614754990e+00dB,9.12910310007532e+01°)
1.41253754462275e+02	(-7.80956165622563e+00dB,9.12287964177082e+01°)
1.44543977074592e+02	(-8.00935909015815e+00dB,9.11672102847748e+01°)
1.47910838816820e+02	(-8.20916802130604e+00dB,9.11062401757989e+01°)
1.51356124843620e+02	(-8.40898804586576e+00dB,9.10458539777140e+01°)
1.54881661891248e+02	(-8.60881878342770e+00dB,9.09860198745309e+01°)
1.58489319246111e+02	(-8.80865987618054e+00dB,9.09267063314256e+01°)
1.62181009735892e+02	(-9.00851098816269e+00dB,9.08678820789214e+01°)
1.65958690743755e+02	(-9.20837180455891e+00dB,9.08095160971618e+01°)
1.69824365246174e+02	(-9.40824203104098e+00dB,9.07515776002691e+01°)
1.73780082874937e+02	(-9.60812139315107e+00dB,9.06940360207840e+01°)
1.77827941003892e+02	(-9.80800963572633e+00dB,9.06368609941829e+01°)
1.81970085860998e+02	(-1.00079065223639e+01dB,9.05800223434662e+01°)
1.86208713666286e+02	(-1.02078118349248e+01dB,9.05234900638150e+01°)
1.90546071796324e+02	(-1.04077253730765e+01dB,9.04672343073082e+01°)
1.94984459975804e+02	(-1.06076469538717e+01dB,9.04112253676982e+01°)
1.99526231496887e+02	(-1.08075764113648e+01dB,9.03554336652369e+01°)
2.04173794466952e+02	(-1.10075135962627e+01dB,9.02998297315493e+01°)
2.08929613085403e+02	(-1.12074583756112e+01dB,9.02443841945468e+01°)
2.13796208950222e+02	(-1.14074106325153e+01dB,9.01890677633772e+01°)
2.18776162394954e+02	(-1.16073702658934e+01dB,9.01338512134042e+01°)
2.23872113856833e+02	(-1.18073371902644e+01dB,9.00787053712114e+01°)
2.29086765276776e+02	(-1.20073113355674e+01dB,9.00236010996253e+01°)
2.34422881531991e+02	(-1.22072926470144e+01dB,8.99685092827515e+01°)
2.39883291901948e+02	(-1.24072810849738e+01dB,8.99134008110188e+01°)
2.45470891568502e+02	(-1.26072766248874e+01dB,8.98582465662253e+01°)
2.51188643150957e+02	(-1.28072792572169e+01dB,8.98030174065802e+01°)
2.57039578276885e+02	(-1.30072889874239e+01dB,8.97476841517374e+01°)
2.63026799189537e+02	(-1.32073058359801e+01dB,8.96922175678137e+01°)
2.69153480392690e+02	(-1.34073298384093e+01dB,8.96365883523859e+01°)
2.75422870333816e+02	(-1.36073610453609e+01dB,8.95807671194627e+01°)
2.81838293126444e+02	(-1.38073995227154e+01dB,8.95247243844245e+01°)
2.88403150312659e+02	(-1.40074453517209e+01dB,8.94684305489258e+01°)
