Distance_(pixels),Gray_Value
454,10.5072
455,10.4203
456,10.3261
457,10.2971
458,10.2101
459,10.1377
460,10.0870
461,10.2391
462,10.3188
463,10.3116
464,10.1014
465,10.3696
466,10.2899
467,10.5217
468,10.6014
469,10.7391
470,10.8261
471,10.9130
472,11.1304
473,11.5580
474,11.6522
475,11.6449
476,12.0870
477,12.2899
478,12.4710
479,13.0507
480,13.4855
481,13.6377
482,14.1667
483,14.6522
484,15.3406
485,15.8116
486,16.2609
487,16.9058
488,17.4638
489,18.1812
490,18.7319
491,19.1667
492,19.4928
493,19.8261
494,20.4710
495,20.3406
496,20.9058
497,21.0580
498,21.2029
499,21.3696
500,21.2101
501,21.1884
502,21.0870
503,20.6087
504,20.5870
505,20.0435
506,19.3623
507,19.0145
508,18.0580
509,17.5072
510,16.8043
511,16.1087
512,15.4420
513,14.5580
514,13.8406
515,13.2246
516,12.3623
517,11.8551
518,11.1594
519,10.8043
520,10.1304
521,9.8188
522,9.1739
523,8.9420
524,8.4638
525,8.2319
526,7.8478
527,7.5507
528,7.3116
529,7.0507
530,6.7246
531,6.5000
532,6.3261
533,6.1522
534,6.0000
535,5.8551
536,5.6087
537,5.5942
538,5.3696
539,5.3116
540,5.2101
541,5.1594
542,5.0435
543,4.9348
544,4.8913
545,4.7971
546,4.8478
547,4.7029
548,4.6667
549,4.5797
550,4.6159
551,4.5507
552,4.4638
553,4.4783
554,4.4348
555,4.5000
556,4.4855
557,4.5435
558,4.3841
559,4.4638
560,4.5072
561,4.5652
562,4.5217
563,4.6304
564,4.4855
565,4.6014
566,4.5870
567,4.7754
568,4.7391
569,4.8116
570,4.7754
571,4.9275
572,4.9493
573,5.0797
574,5.0870
575,5.1957
576,5.1159
577,5.4203
578,5.4638
579,5.5507
580,5.6304
581,5.9203
582,5.9058
583,6.0580
584,6.2101
585,6.4783
586,6.4638
587,6.7899
588,6.9348
589,7.2246
590,7.4638
591,7.7899
592,8.0362
593,8.3261
594,8.5000
595,8.7826
596,9.1667
597,9.6449
598,10.0507
599,10.3986
600,10.8696
601,11.4130
602,11.9638
603,12.3406
604,13.0290
605,13.5217
606,13.9710
607,14.8188
608,15.3406
609,16.0145
610,16.7101
611,17.5000
612,18.0725
613,18.7464
614,19.5217
615,20.1087
616,20.4783
617,21.1377
618,21.6957
619,22.2319
620,22.4203
621,23.0725
622,23.0580
623,23.4275
624,23.4565
625,23.4710
626,23.2319
627,23.1159
628,22.9130
629,22.4710
630,22.1522
631,21.5725
632,21.0870
633,20.3986
634,19.7029
635,19.1232
636,18.5290
637,17.6304
638,16.9275
639,16.4420
640,15.6232
641,15.1087
642,14.6594
643,14.2971
644,13.7029
645,13.4130
646,13.1449
647,12.8768
648,12.6957
649,12.3986
650,12.2971
651,12.3406
652,12.0580
653,12.1594
654,12.1377
655,12.0290
656,11.8478
657,11.7899
658,11.9710
659,11.7029
660,11.8261
661,12.0652
662,12.1014
663,12.0145
664,12.0797
665,12.3043
666,12.4275
667,12.8043
668,12.7971
669,13.0362
670,13.1812
671,13.5072
672,13.6812
673,14.0797
674,14.3043
675,14.7536
676,15.2029
677,15.4710
678,15.9565
679,16.3696
680,17.0145
681,17.3623
682,17.7246
683,18.5870
684,18.8478
685,19.6957
686,20.3333
687,20.8986
688,21.3261
689,21.8261
690,22.0507
691,22.6449
692,23.1667
693,23.3986
694,23.5580
695,23.6014
696,23.7899
697,23.9203
698,23.6812
699,23.4638
700,23.4058
701,22.6377
702,22.2971
703,21.7971
704,21.0217
705,20.2681
706,19.6957
707,18.6232
708,18.0942
709,17.2174
710,16.3333
711,15.4058
712,14.6957
713,13.7609
714,13.3623
715,12.6522
716,12.0580
717,11.4783
718,10.9783
719,10.6087
720,9.9928
721,9.7536
722,9.1884
723,9.0145
724,8.6522
725,8.2826
726,8.1377
727,7.8116
728,7.6087
729,7.2464
730,7.0072
731,6.9638
732,6.7029
733,6.5870
734,6.2754
735,6.2826
736,6.0942
737,5.9928
738,6.0580
739,5.9058
740,5.8188
741,5.7029
742,5.6522
743,5.5797
744,5.5145
745,5.5000
746,5.5072
747,5.3696
748,5.4058
749,5.4710
750,5.3406
751,5.3913
752,5.2899
753,5.3696
754,5.2536
755,5.2609
756,5.3116
757,5.3478
758,5.3551
759,5.3551
760,5.3406
761,5.4565
762,5.5435
763,5.5507
764,5.7174
765,5.7174
766,5.6812
767,5.7609
768,5.8696
769,5.9058
770,5.9493
771,6.0870
772,6.1377
773,6.2391
774,6.2754
775,6.4928
776,6.5362
777,6.7029
778,6.8768
779,7.1522
780,7.2246
781,7.3551
782,7.5000
783,7.7826
784,7.8333
785,8.1087
786,8.3913
787,8.5942
788,8.8913
789,9.0942
790,9.4203
791,9.6304
792,10.1449
793,10.5290
794,10.7971
795,11.3043
796,11.5290
797,12.0290
798,12.5942
799,13.2174
800,13.5797
801,14.2536
802,14.8551
803,15.3986
804,16.3551
805,16.6667
806,17.4420
807,18.0942
808,18.9928
809,19.5362
810,20.2681
811,20.7754
812,21.7464
813,22.2681
814,23.1087
815,23.8116
816,24.3623
817,24.6304
818,25.0072
819,25.3551
820,25.7899
821,25.9493
822,25.7899
823,26.0797
824,25.8333
825,25.7536
826,25.5507
827,25.0145
828,24.4493
829,23.8333
830,23.1159
831,22.5652
832,21.9420
833,21.1159
834,20.4348
835,19.6522
836,18.8333
837,18.1594
838,17.2246
839,16.9565
840,16.4058
841,15.9130
842,15.4130
843,14.9420
844,14.5870
845,14.3043
846,13.9275
847,13.8478
848,13.6232
849,13.3333
850,13.3841
851,13.2826
852,13.3043
853,13.1449
854,13.2609
855,13.1667
856,13.0797
857,13.1087
858,13.3986
859,13.2101
860,13.4493
861,13.5797
862,13.4420
863,13.5942
864,13.7971
865,14.0072
866,14.0942
867,14.4058
868,14.5435
869,14.6884
870,15.0797
871,15.3333
872,15.5217
873,15.9203
874,16.3913
875,17.1449
876,17.2391
877,17.7319
878,18.5145
879,19.0072
880,19.3478
881,19.9638
882,20.5000
883,21.1812
884,21.5580
885,22.5797
886,23.0217
887,23.6377
888,23.9638
889,24.4783
890,24.9420
891,25.3333
892,25.6377
893,25.7899
894,26.0290
895,26.1232
896,25.9275
897,25.6377
898,25.3261
899,24.8551
900,24.3913
901,24.0000
902,23.0652
903,22.5797
904,21.5145
905,20.8623
906,19.9203
907,18.9928
908,17.9638
909,17.0435
910,16.3406
911,15.5797
912,14.5072
913,13.8478
914,13.1087
915,12.5072
916,11.8188
917,11.3116
918,10.7609
919,10.3333
920,9.8623
921,9.5072
922,9.2536
923,8.7536
924,8.3986
925,8.1522
926,8.0435
927,7.7754
928,7.4565
929,7.2391
930,7.0725
931,6.8043
932,6.6594
933,6.4855
934,6.2681
935,6.2464
936,6.0435
937,5.9928
938,5.8696
939,5.7826
940,5.7101
941,5.6812
942,5.5870
943,5.5797
944,5.5290
945,5.4275
946,5.5072
947,5.3986
948,5.4493
949,5.3623
950,5.4203
951,5.3478
952,5.3696
953,5.3696
954,5.3841
955,5.4855
956,5.3333
957,5.4348
958,5.4203
959,5.6522
960,5.5725
961,5.6304
962,5.7464
963,5.7536
964,5.8188
965,5.8333
966,5.8696
967,6.0507
968,6.0580
969,6.2319
970,6.3551
971,6.4493
972,6.4710
973,6.6159
974,6.7899
975,6.9203
976,7.0652
977,7.2609
978,7.3768
979,7.5580
980,7.7754
981,7.9203
982,8.0217
983,8.3986
984,8.5580
985,8.8768
986,9.0797
987,9.2826
988,9.7319
989,10.0797
990,10.3623
991,10.8406
992,11.0797
993,11.7174
994,11.9783
995,12.4130
996,12.9928
997,13.4203
998,14.0362
999,14.6087
1000,15.1449
1001,15.9348
1002,16.6304
1003,17.1304
1004,17.8478
1005,18.6159
1006,19.4783
1007,20.1159
1008,20.9493
1009,21.6884
1010,22.5435
1011,23.4710
1012,24.0290
1013,24.8261
1014,25.2826
1015,26.2971
1016,26.7826
