Distance_(pixels),Gray_Value
454,22.2500
455,22.8182
456,23.1136
457,23.9242
458,24.5758
459,25.1136
460,25.8485
461,26.4545
462,27.0758
463,28.1288
464,28.9242
465,29.3333
466,30.2652
467,31.0909
468,31.4545
469,32.5303
470,32.7652
471,33.2500
472,34.1591
473,34.0985
474,34.6288
475,34.6515
476,34.5000
477,34.6515
478,34.1742
479,33.8485
480,33.7197
481,32.8106
482,31.9470
483,31.0758
484,30.2955
485,29.2576
486,28.3106
487,27.2652
488,26.0379
489,24.6894
490,23.7727
491,22.6364
492,21.3939
493,20.6288
494,19.7955
495,18.9318
496,18.2045
497,17.4924
498,16.6061
499,16.0227
500,15.4470
501,14.8409
502,14.5152
503,13.9470
504,13.4848
505,13.1364
506,12.7803
507,12.5455
508,12.1212
509,11.8485
510,11.4015
511,11.1970
512,10.9470
513,10.7045
514,10.3939
515,10.3030
516,9.9242
517,9.9394
518,9.6136
519,9.7121
520,9.3864
521,9.3788
522,9.2803
523,9.1288
524,9.0682
525,8.9545
526,8.9697
527,8.8409
528,8.6742
529,8.7348
530,8.6894
531,8.5758
532,8.5227
533,8.4394
534,8.5909
535,8.4848
536,8.4242
537,8.3864
538,8.3788
539,8.2424
540,8.1894
541,8.2727
542,8.2576
543,8.2348
544,8.2652
545,8.5455
546,8.3939
547,8.3258
548,8.2348
549,8.5758
550,8.4091
551,8.5985
552,8.4848
553,8.6212
554,8.8561
555,8.8939
556,8.8106
557,8.8712
558,8.9848
559,9.1212
560,9.1364
561,9.1742
562,9.3561
563,9.4242
564,9.6970
565,9.8636
566,9.8030
567,9.8939
568,10.1894
569,10.3864
570,10.4091
571,10.7500
572,10.9394
573,11.1364
574,11.3409
575,11.5379
576,11.7727
577,12.0758
578,12.2348
579,12.7424
580,13.0303
581,13.3561
582,13.9015
583,14.2500
584,14.6136
585,15.3258
586,15.9773
587,16.4545
588,16.7197
589,17.4848
590,18.2045
591,18.8485
592,19.6061
593,20.0985
594,20.9091
595,21.8788
596,22.6970
597,23.6742
598,24.8030
599,25.7121
600,26.6970
601,27.6818
602,28.7273
603,29.6591
604,30.7652
605,32.2045
606,32.8409
607,33.8485
608,34.8712
609,35.5379
610,36.1136
611,36.9394
612,37.5379
613,37.8182
614,38.2803
615,38.3788
616,38.7197
617,38.6970
618,38.7955
619,38.3030
620,38.0985
621,37.1818
622,36.4924
623,35.7879
624,34.9621
625,33.6818
626,33.0682
627,31.6364
628,31.1061
629,30.0606
630,29.0530
631,28.1515
632,27.2348
633,26.3182
634,25.9697
635,25.2121
636,24.7121
637,24.4015
638,24.2121
639,24.0455
640,23.7348
641,23.7576
642,23.5985
643,23.7197
644,23.8333
645,23.6439
646,23.7576
647,24.0985
648,24.4242
649,24.8636
650,25.1061
651,25.5379
652,26.1667
653,26.5303
654,26.9848
655,27.8333
656,28.4697
657,29.6136
658,30.1894
659,30.7424
660,31.4091
661,32.3864
662,33.1742
663,34.3485
664,34.6288
665,35.3485
666,36.1818
667,36.9697
668,37.3636
669,38.0682
670,38.3561
671,38.9091
672,38.7803
673,38.4773
674,38.7576
675,38.4015
676,38.1288
677,37.4091
678,36.6894
679,35.8030
680,34.8636
681,33.7273
682,32.7348
683,31.1212
684,29.9318
685,28.7045
686,27.5152
687,26.1894
688,25.0758
689,24.0227
690,22.8788
691,21.8561
692,21.0000
693,20.0076
694,19.4167
695,18.4924
696,17.5455
697,17.0227
698,16.3561
699,15.8258
700,15.5379
701,14.8485
702,14.4621
703,14.0379
704,13.6591
705,13.1970
706,12.5833
707,12.6742
708,12.2803
709,12.0379
710,11.5152
711,11.4091
712,11.3485
713,11.0909
714,11.0455
715,10.8030
716,10.6136
717,10.5530
718,10.3636
719,10.2197
720,10.0606
721,9.9924
722,9.9773
723,9.8106
724,9.8258
725,9.6288
726,9.6061
727,9.5000
728,9.6136
729,9.5227
730,9.4470
731,9.4470
732,9.3258
733,9.4924
734,9.3485
735,9.4773
736,9.4242
737,9.2955
738,9.2348
739,9.2576
740,9.4697
741,9.5000
742,9.4242
743,9.3712
744,9.4242
745,9.4924
746,9.5152
747,9.6288
748,9.6212
749,9.6212
750,9.7500
751,9.8258
752,9.8788
753,10.0606
754,10.0909
755,10.0227
756,10.3712
757,10.4470
758,10.5606
759,10.5606
760,10.5758
761,10.9470
762,11.1288
763,11.2955
764,11.3712
765,11.5682
766,11.7803
767,12.0303
768,12.1667
769,12.4848
770,12.7652
771,12.9545
772,13.2197
773,13.3939
774,13.9621
775,14.0000
776,14.2955
777,14.8712
778,15.1742
779,15.7045
780,15.9167
781,16.4242
782,16.8561
783,17.3485
784,17.9621
785,18.6212
786,19.2121
787,19.6364
788,20.3939
789,21.4015
790,22.0379
791,22.7576
792,23.6439
793,24.8712
794,25.6212
795,26.5152
796,27.5530
797,28.5530
798,29.6667
799,30.6515
800,31.9091
801,32.9015
802,33.9470
803,34.9242
804,36.0000
805,37.2500
806,38.1667
807,39.0000
808,39.8030
809,40.5000
810,41.2803
811,41.6894
812,42.3485
813,42.6667
814,42.6288
815,42.9697
816,42.4773
817,42.1136
818,41.4545
819,40.9015
820,40.2273
821,39.4242
822,38.3561
823,37.7045
824,36.7121
825,35.6212
826,34.4091
827,33.4470
828,32.1818
829,31.2727
830,30.3939
831,29.5076
832,28.7652
833,27.7576
834,27.3182
835,26.8333
836,26.5379
837,25.7879
838,25.9015
839,26.1212
840,25.9394
841,25.6818
842,25.7652
843,25.8485
844,26.1970
845,26.2424
846,26.3258
847,27.1136
848,27.5227
849,27.5455
850,28.0303
851,28.6818
852,29.1061
853,29.8182
854,30.6439
855,31.5152
856,32.2121
857,33.0227
858,33.7955
859,34.4167
860,35.1894
861,36.0833
862,37.1515
863,37.9773
864,38.7879
865,39.3485
866,39.6894
867,40.3864
868,40.6288
869,41.5000
870,41.3182
871,41.3561
872,41.2576
873,41.2197
874,40.8788
875,40.5455
876,39.9621
877,39.2348
878,38.2955
879,37.1212
880,36.1742
881,34.9167
882,33.2652
883,31.8712
884,30.3561
885,29.1818
886,27.7348
887,26.4848
888,25.1818
889,23.8788
890,22.8712
891,21.4621
892,20.6364
893,19.6364
894,18.9697
895,18.1212
896,17.5530
897,16.6742
898,16.1970
899,15.5076
900,15.0303
901,14.6212
902,13.9621
903,13.6894
904,13.2652
905,12.7652
906,12.5303
907,12.2045
908,11.9621
909,11.6212
910,11.3788
911,11.2576
912,10.9318
913,10.8333
914,10.6818
915,10.3788
916,10.2045
917,10.1667
918,10.0530
919,10.1364
920,9.8258
921,9.8030
922,9.7500
923,9.7121
924,9.6288
925,9.4091
926,9.3864
927,9.3561
928,9.3788
929,9.2576
930,9.1667
931,9.2879
932,9.2500
933,9.3030
934,9.1061
935,9.3030
936,9.2045
937,9.2273
938,9.1515
939,9.2121
940,9.3409
941,9.3712
942,9.1667
943,9.4394
944,9.4242
945,9.3939
946,9.5985
947,9.6591
948,9.6894
949,9.7576
950,9.8333
951,10.0530
952,10.1061
953,10.0303
954,10.3485
955,10.4394
956,10.7121
957,10.7576
958,10.9545
959,10.9091
960,11.0455
961,11.3409
962,11.6061
963,11.7803
964,11.8939
965,12.1061
966,12.3030
967,12.7273
968,12.8030
969,13.2121
970,13.4091
971,13.7121
972,13.9091
973,14.2955
974,14.7500
975,15.1515
976,15.2955
977,16.0606
978,16.2045
979,16.8333
980,17.2955
981,17.9545
982,18.6667
983,19.0455
984,19.5833
985,20.0379
986,21.0379
987,21.7121
988,22.4015
989,23.4015
990,24.1212
991,25.2121
992,25.9167
993,27.0000
994,28.2121
995,29.2727
996,30.4848
997,31.6288
998,32.7955
999,33.9091
1000,35.2652
1001,36.3561
1002,37.5758
1003,39.0682
1004,40.2803
1005,41.3258
1006,42.2879
1007,43.5303
1008,44.4773
1009,45.3561
1010,46.4697
1011,47.2879
1012,47.8182
1013,47.9773
1014,48.1212
1015,48.5000
1016,48.2803
1017,47.9545
1018,47.8636
1019,46.9167
1020,46.1288
1021,45.2576
1022,44.5379
1023,43.2500
1024,42.0303
1025,40.6591
1026,39.8106
1027,38.5682
1028,37.1894
1029,36.1515
1030,34.8864
1031,34.0455
1032,32.9091
1033,32.2424
1034,31.6439
1035,30.8258
1036,30.1288
1037,29.8030
1038,29.6818
1039,29.4545
1040,29.3106
1041,29.0833
1042,29.1667
1043,29.1364
1044,29.3561
1045,29.3182
1046,29.7348
1047,30.0227
1048,30.5152
1049,30.9242
1050,31.3712
1051,32.0455
1052,32.5227
1053,33.0152
1054,34.1212
1055,35.0303
1056,36.0000
1057,37.0000
1058,37.6364
1059,38.6742
1060,39.6515
1061,40.7348
1062,41.7273
1063,42.6667
1064,43.8712
1065,44.9015
1066,45.5000
1067,46.4091
1068,46.5606
1069,47.1212
1070,47.7348
1071,48.0303
1072,47.9470
1073,47.7727
1074,47.7197
1075,47.5379
1076,46.7273
1077,46.2273
1078,45.4394
1079,44.7273
1080,43.1136
1081,41.7576
1082,40.3939
1083,39.2803
1084,37.2424
1085,35.8258
1086,34.1515
1087,32.4167
1088,30.8788
1089,29.3864
1090,27.9621
1091,26.5152
1092,25.2348
1093,24.1970
1094,22.7652
1095,21.8182
1096,20.9394
1097,20.2955
1098,19.2348
1099,18.6288
1100,18.1818
1101,17.2879
1102,16.7955
1103,16.2500
1104,15.6212
1105,15.0758
1106,14.6439
1107,14.3258
1108,13.9167
1109,13.3561
1110,13.2121
1111,12.9318
1112,12.4242
1113,12.4394
1114,12.2121
1115,11.9470
1116,11.7045
1117,11.4621
1118,11.2045
1119,11.2197
1120,10.9167
1121,10.8409
1122,10.7273
1123,10.8030
1124,10.5606
1125,10.5758
1126,10.3636
1127,10.5606
1128,10.3788
1129,10.1818
1130,10.2348
1131,10.2576
1132,10.2424
1133,10.1742
1134,10.0985
1135,10.0530
1136,10.0379
1137,10.3030
1138,10.3030
1139,10.1212
1140,10.2576
1141,10.2727
1142,10.3409
1143,10.4621
1144,10.3712
1145,10.3939
1146,10.4470
1147,10.4167
1148,10.6288
1149,10.6212
1150,10.7576
1151,10.8561
1152,10.8485
1153,11.0455
1154,11.0303
1155,11.2348
1156,11.3864
1157,11.5682
1158,11.5758
1159,11.9773
1160,11.9924
1161,12.1136
1162,12.5000
1163,12.6818
1164,13.0152
1165,13.0379
1166,13.3409
1167,13.6136
1168,13.9697
1169,14.0606
1170,14.3636
1171,14.8788
1172,15.1591
1173,15.6970
1174,16.0833
1175,16.4848
1176,16.8106
1177,17.3258
1178,17.7576
1179,18.1061
1180,18.6439
1181,19.5152
1182,20.0530
1183,20.8182
1184,21.4242
1185,22.0909
1186,22.9015
1187,23.4773
1188,24.2121
1189,24.9924
1190,25.9091
1191,26.9773
1192,28.2727
1193,29.1970
1194,30.4167
1195,31.7348
1196,33.2879
1197,34.2500
1198,35.2879
1199,37.0379
1200,38.2803
1201,39.9773
1202,41.1970
1203,42.8636
1204,44.1061
1205,45.9697
1206,47.2955
1207,49.0758
1208,50.1515
1209,51.5455
1210,52.8788
1211,54.2727
1212,55.0682
1213,56.2273
1214,57.0758
1215,57.7273
1216,58.1288
1217,58.3258
1218,58.2803
1219,58.0076
1220,57.5076
1221,57.1742
1222,56.2045
1223,55.3864
1224,54.4318
1225,53.2879
1226,51.8258
1227,50.2197
1228,48.9848
1229,47.6818
1230,46.0379
1231,44.9545
1232,43.2121
1233,41.9848
1234,41.0833
1235,39.7803
1236,38.9015
1237,37.9242
1238,37.2500
1239,36.5455
1240,36.3258
1241,35.8030
1242,35.4091
1243,35.2273
1244,35.2955
1245,35.4015
1246,35.4924
1247,35.7652
1248,36.1439
1249,36.5530
1250,36.7273
1251,37.3561
1252,37.8864
1253,38.6894
1254,39.2652
1255,40.0985
1256,41.3030
1257,42.0530
1258,43.3333
1259,44.0909
1260,45.0833
1261,46.4621
1262,47.4848
1263,48.8485
1264,50.2424
1265,51.1667
1266,52.7273
1267,53.9167
1268,54.6742
1269,56.2197
1270,56.7576
1271,57.3106
1272,57.8939
1273,58.6515
1274,59.1288
1275,58.9318
1276,59.2576
1277,58.8788
1278,58.1364
1279,58.0985
1280,57.1667
1281,56.0606
1282,55.0682
1283,53.2727
1284,51.6061
1285,50.0985
1286,48.1742
1287,46.4470
1288,44.3182
1289,42.7727
1290,40.9242
1291,38.8182
1292,37.0379
1293,35.2500
1294,33.5833
1295,31.8409
1296,30.5833
1297,29.3030
1298,27.9015
1299,26.3182
1300,25.5833
1301,24.6136
1302,23.8333
1303,22.8939
1304,21.9621
1305,21.3333
1306,20.4545
1307,19.9167
1308,19.5379
1309,18.9167
1310,18.2500
1311,17.6970
1312,17.2576
