Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-05
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-1.664e-04,0.000384375
-1.662e-04,0.000278125
-1.661e-04,0.0003
-1.659e-04,0.000178125
-1.658e-04,0.000240625
-1.656e-04,0.000203125
-1.654e-04,0.00014375
-1.653e-04,0.000184375
-1.651e-04,0.000165625
-1.650e-04,0.00026875
-1.648e-04,0.00029375
-1.646e-04,0.000390625
-1.645e-04,0.000378125
-1.643e-04,0.00021875
-1.642e-04,0.000265625
-1.640e-04,8.75e-05
-1.638e-04,0.0003125
-1.637e-04,0.0003875
-1.635e-04,0.0003375
-1.634e-04,0.000290625
-1.632e-04,0.000221875
-1.630e-04,0.000375
-1.629e-04,0.000221875
-1.627e-04,0.00013125
-1.626e-04,-6.5625e-05
-1.624e-04,-3.75e-05
-1.622e-04,8.4375e-05
-1.621e-04,0.00033125
-1.619e-04,0.000334375
-1.618e-04,0.0003875
-1.616e-04,0.000359375
-1.614e-04,0.000403125
-1.613e-04,0.000234375
-1.611e-04,0.000384375
-1.610e-04,0.000228125
-1.608e-04,0.00014375
-1.606e-04,0.000409375
-1.605e-04,0.000171875
-1.603e-04,0.000240625
-1.602e-04,0.00021875
-1.600e-04,0.000190625
-1.598e-04,0.000303125
-1.597e-04,0.000196875
-1.595e-04,0.000296875
-1.594e-04,0.00030625
-1.592e-04,0.00028125
-1.590e-04,0.000328125
-1.589e-04,0.000321875
-1.587e-04,0.00018125
-1.586e-04,7.1875e-05
-1.584e-04,0.0003125
-1.582e-04,0.0005125
-1.581e-04,0.000546875
-1.579e-04,0.000478125
-1.578e-04,0.000128125
-1.576e-04,7.1875e-05
-1.574e-04,8.125e-05
-1.573e-04,6.875e-05
-1.571e-04,3.4375e-05
-1.570e-04,0.00015625
-1.568e-04,0.0001875
-1.566e-04,0.00013125
-1.565e-04,0.000178125
-1.563e-04,0.00026875
-1.562e-04,0.000265625
-1.560e-04,0.000396875
-1.558e-04,0.000259375
-1.557e-04,0.000221875
-1.555e-04,0.00028125
-1.554e-04,0.00011875
-1.552e-04,0.000246875
-1.550e-04,0.00025625
-1.549e-04,0.00010625
-1.547e-04,0.000334375
-1.546e-04,0.000346875
-1.544e-04,0.000228125
-1.542e-04,0.000153125
-1.541e-04,0.00026875
-1.539e-04,0.000209375
-1.538e-04,8.125e-05
-1.536e-04,0.0001625
-1.534e-04,0.000128125
-1.533e-04,0.0001875
-1.531e-04,0.00020625
-1.530e-04,0.000209375
-1.528e-04,0.00028125
-1.526e-04,0.000203125
-1.525e-04,-0.000103125
-1.523e-04,0.000175
-1.522e-04,0.000284375
-1.520e-04,-0.000125
-1.518e-04,-0.00111875
-1.517e-04,-0.00162187
-1.515e-04,-0.00206875
-1.514e-04,-0.00138125
-1.512e-04,0.0269562
-1.510e-04,0.0706062
-1.509e-04,0.0808
-1.507e-04,0.0808
-1.506e-04,0.0808
-1.504e-04,0.0808
-1.502e-04,0.0808
-1.501e-04,0.0808
-1.499e-04,0.0808
-1.498e-04,0.0808
-1.496e-04,0.0808
-1.494e-04,0.0797031
-1.493e-04,0.0578375
-1.491e-04,0.0323625
-1.490e-04,0.0168375
-1.488e-04,0.0121344
-1.486e-04,0.0143531
-1.485e-04,0.019425
-1.483e-04,0.0240375
-1.482e-04,0.0266437
-1.480e-04,0.0274812
-1.478e-04,0.0263031
-1.477e-04,0.0248094
-1.475e-04,0.0230687
-1.474e-04,0.0218562
-1.472e-04,0.0209937
-1.470e-04,0.0207094
-1.469e-04,0.0204125
-1.467e-04,0.0204187
-1.466e-04,0.0203437
-1.464e-04,0.0201844
-1.462e-04,0.0201156
-1.461e-04,0.0197844
-1.459e-04,0.0195406
-1.458e-04,0.0193812
-1.456e-04,0.0194312
-1.454e-04,0.0193344
-1.453e-04,0.0192875
-1.451e-04,0.0192406
-1.450e-04,0.0193937
-1.448e-04,0.0194625
-1.446e-04,0.01935
-1.445e-04,0.019575
-1.443e-04,0.0194594
-1.442e-04,0.0195594
-1.440e-04,0.0195531
-1.438e-04,0.0196875
-1.437e-04,0.0197969
-1.435e-04,0.0196656
-1.434e-04,0.0197531
-1.432e-04,0.0197594
-1.430e-04,0.0196844
-1.429e-04,0.0198125
-1.427e-04,0.0199531
-1.426e-04,0.0197719
-1.424e-04,0.0199062
-1.422e-04,0.0198375
-1.421e-04,0.0197594
-1.419e-04,0.0199031
-1.418e-04,0.0198687
-1.416e-04,0.0199875
-1.414e-04,0.0199531
-1.413e-04,0.0198656
-1.411e-04,0.0199437
-1.410e-04,0.0199094
-1.408e-04,0.0198969
-1.406e-04,0.0198312
-1.405e-04,0.0198094
-1.403e-04,0.0198812
-1.402e-04,0.0200969
-1.400e-04,0.0199531
-1.398e-04,0.0200469
-1.397e-04,0.0198062
-1.395e-04,0.0198
-1.394e-04,0.0198062
-1.392e-04,0.0197937
-1.390e-04,0.0197281
-1.389e-04,0.0196156
-1.387e-04,0.0195094
-1.386e-04,0.0197
-1.384e-04,0.0197562
-1.382e-04,0.0198187
-1.381e-04,0.0197469
-1.379e-04,0.0195812
-1.378e-04,0.0195031
-1.376e-04,0.0197156
-1.374e-04,0.0196312
-1.373e-04,0.0196875
-1.371e-04,0.0197125
-1.370e-04,0.0196437
-1.368e-04,0.019525
-1.366e-04,0.019575
-1.365e-04,0.0197312
-1.363e-04,0.0199594
-1.362e-04,0.0197312
-1.360e-04,0.0196937
-1.358e-04,0.0196906
-1.357e-04,0.0197094
-1.355e-04,0.0196219
-1.354e-04,0.0196281
-1.352e-04,0.0197719
-1.350e-04,0.0197281
-1.349e-04,0.0198156
-1.347e-04,0.0197656
-1.346e-04,0.0198219
-1.344e-04,0.0198375
-1.342e-04,0.0199531
-1.341e-04,0.0199156
-1.339e-04,0.0199187
-1.338e-04,0.0198531
-1.336e-04,0.0200719
-1.334e-04,0.0201031
-1.333e-04,0.0200812
-1.331e-04,0.0201469
-1.330e-04,0.0201156
-1.328e-04,0.0201375
-1.326e-04,0.0203031
-1.325e-04,0.0201687
-1.323e-04,0.0203031
-1.322e-04,0.0202875
-1.320e-04,0.0201969
-1.318e-04,0.0202062
-1.317e-04,0.020175
-1.315e-04,0.0202156
-1.314e-04,0.0203156
-1.312e-04,0.0202594
-1.310e-04,0.0203781
-1.309e-04,0.0203531
-1.307e-04,0.0201812
-1.306e-04,0.0204562
-1.304e-04,0.0203781
-1.302e-04,0.0202906
-1.301e-04,0.0204
-1.299e-04,0.0202312
-1.298e-04,0.0204875
-1.296e-04,0.0203344
-1.294e-04,0.0202375
-1.293e-04,0.0203281
-1.291e-04,0.0203719
-1.290e-04,0.0203437
-1.288e-04,0.0204906
-1.286e-04,0.0204844
-1.285e-04,0.0205437
-1.283e-04,0.020475
-1.282e-04,0.0205312
-1.280e-04,0.020575
-1.278e-04,0.0205312
-1.277e-04,0.0204687
-1.275e-04,0.0203656
-1.274e-04,0.0204062
-1.272e-04,0.0201531
-1.270e-04,0.020325
-1.269e-04,0.0204375
-1.267e-04,0.0202187
-1.266e-04,0.0202969
-1.264e-04,0.0204812
-1.262e-04,0.0204594
-1.261e-04,0.0202781
-1.259e-04,0.0204937
-1.258e-04,0.0202437
-1.256e-04,0.02015
-1.254e-04,0.0203531
-1.253e-04,0.0202781
-1.251e-04,0.0201687
-1.250e-04,0.0202062
-1.248e-04,0.0203062
-1.246e-04,0.0202625
-1.245e-04,0.0202281
-1.243e-04,0.0201594
-1.242e-04,0.0200781
-1.240e-04,0.0201937
-1.238e-04,0.0201719
-1.237e-04,0.0202156
-1.235e-04,0.0201062
-1.234e-04,0.0199969
-1.232e-04,0.0201562
-1.230e-04,0.0201781
-1.229e-04,0.0200781
-1.227e-04,0.019975
-1.226e-04,0.019975
-1.224e-04,0.0202094
-1.222e-04,0.0201812
-1.221e-04,0.0198937
-1.219e-04,0.0200062
-1.218e-04,0.0198687
-1.216e-04,0.0198719
-1.214e-04,0.0198687
-1.213e-04,0.0199281
-1.211e-04,0.0199344
-1.210e-04,0.0198562
-1.208e-04,0.0198219
-1.206e-04,0.0196656
-1.205e-04,0.0196812
-1.203e-04,0.01965
-1.202e-04,0.0196625
-1.200e-04,0.0196406
-1.198e-04,0.0196875
-1.197e-04,0.0195812
-1.195e-04,0.0196312
-1.194e-04,0.0197062
-1.192e-04,0.0196375
-1.190e-04,0.0196406
-1.189e-04,0.0196437
-1.187e-04,0.0194812
-1.186e-04,0.0196187
-1.184e-04,0.0195687
-1.182e-04,0.0195625
-1.181e-04,0.0195781
-1.179e-04,0.0196281
-1.178e-04,0.0196687
-1.176e-04,0.0195719
-1.174e-04,0.0194781
-1.173e-04,0.0195344
-1.171e-04,0.0193969
-1.170e-04,0.0193781
-1.168e-04,0.0193625
-1.166e-04,0.0194781
-1.165e-04,0.0194531
-1.163e-04,0.0194719
-1.162e-04,0.019225
-1.160e-04,0.0193719
-1.158e-04,0.0191969
-1.157e-04,0.0192125
-1.155e-04,0.0191437
-1.154e-04,0.0190625
-1.152e-04,0.0192562
-1.150e-04,0.0191187
-1.149e-04,0.0191531
-1.147e-04,0.0191875
-1.146e-04,0.0191687
-1.144e-04,0.0191531
-1.142e-04,0.0192187
-1.141e-04,0.0191562
-1.139e-04,0.0192437
-1.138e-04,0.0189156
-1.136e-04,0.0189906
-1.134e-04,0.0191906
-1.133e-04,0.0191719
-1.131e-04,0.0189969
-1.130e-04,0.019225
-1.128e-04,0.0190812
-1.126e-04,0.0191437
-1.125e-04,0.0190562
-1.123e-04,0.019025
-1.122e-04,0.0190875
-1.120e-04,0.0190187
-1.118e-04,0.0188625
-1.117e-04,0.0189469
-1.115e-04,0.0189031
-1.114e-04,0.0188562
-1.112e-04,0.0187187
-1.110e-04,0.018875
