Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-06
Sample Interval,1.6e-08
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.00895
Label,
TIME,CH1
2.131e-05,-0.071572
2.133e-05,-0.0715315
2.134e-05,-0.0714308
2.136e-05,-0.0716615
2.138e-05,-0.0716084
2.139e-05,-0.0716475
2.141e-05,-0.0715874
2.142e-05,-0.0715888
2.144e-05,-0.0717133
2.146e-05,-0.0716168
2.147e-05,-0.0715273
2.149e-05,-0.0715678
2.150e-05,-0.0716825
2.152e-05,-0.0717287
2.154e-05,-0.0716322
2.155e-05,-0.0716727
2.157e-05,-0.0716042
2.158e-05,-0.0715972
2.160e-05,-0.0716629
2.162e-05,-0.0715776
2.163e-05,-0.0716461
2.165e-05,-0.0716531
2.166e-05,-0.0716461
2.168e-05,-0.0715608
2.170e-05,-0.0715636
2.171e-05,-0.0715608
2.173e-05,-0.0715902
2.174e-05,-0.0716014
2.176e-05,-0.0715329
2.178e-05,-0.0715594
2.179e-05,-0.0716965
2.181e-05,-0.0716
2.182e-05,-0.0716517
2.184e-05,-0.0714755
2.186e-05,-0.0714909
2.187e-05,-0.0714839
2.189e-05,-0.0716028
2.190e-05,-0.0715469
2.192e-05,-0.0715497
2.194e-05,-0.071558
2.195e-05,-0.0714811
2.197e-05,-0.0714476
2.198e-05,-0.0715203
2.200e-05,-0.0714951
2.202e-05,-0.0715916
2.203e-05,-0.0715399
2.205e-05,-0.0714699
2.206e-05,-0.0714839
2.208e-05,-0.0714238
2.210e-05,-0.0714588
2.211e-05,-0.0715175
2.213e-05,-0.0715287
2.214e-05,-0.0713972
2.216e-05,-0.0713804
2.218e-05,-0.0714392
2.219e-05,-0.0714434
2.221e-05,-0.0715664
2.222e-05,-0.0715091
2.224e-05,-0.0714126
2.226e-05,-0.0713651
2.227e-05,-0.071456
2.229e-05,-0.0714951
2.230e-05,-0.0715063
2.232e-05,-0.0714588
2.234e-05,-0.0715902
2.235e-05,-0.0714643
2.237e-05,-0.0713902
2.238e-05,-0.071393
2.240e-05,-0.0715105
2.242e-05,-0.0714811
2.243e-05,-0.0715678
2.245e-05,-0.071435
2.246e-05,-0.0714867
2.248e-05,-0.0715035
2.250e-05,-0.0715748
2.251e-05,-0.0716042
2.253e-05,-0.0713902
2.254e-05,-0.0714783
2.256e-05,-0.0713623
2.258e-05,-0.0715245
2.259e-05,-0.0715622
2.261e-05,-0.0714014
2.262e-05,-0.0714322
2.264e-05,-0.071414
2.266e-05,-0.0715217
2.267e-05,-0.0715259
2.269e-05,-0.0715147
2.270e-05,-0.0715119
2.272e-05,-0.0714574
2.274e-05,-0.0714713
2.275e-05,-0.0714755
2.277e-05,-0.0714979
2.278e-05,-0.0714364
2.280e-05,-0.0714713
2.282e-05,-0.0715147
2.283e-05,-0.0715371
2.285e-05,-0.0715664
2.286e-05,-0.0714685
2.288e-05,-0.0715245
2.290e-05,-0.0714727
2.291e-05,-0.0715511
2.293e-05,-0.0715399
2.294e-05,-0.0715091
2.296e-05,-0.0716238
2.298e-05,-0.0715385
2.299e-05,-0.0716294
2.301e-05,-0.0715287
2.302e-05,-0.0715874
2.304e-05,-0.0715972
2.306e-05,-0.0715552
2.307e-05,-0.0715804
2.309e-05,-0.0716392
2.310e-05,-0.0716461
2.312e-05,-0.0716531
2.314e-05,-0.0715301
2.315e-05,-0.0716671
2.317e-05,-0.0715441
2.318e-05,-0.0715832
2.320e-05,-0.0717105
2.322e-05,-0.071737
2.323e-05,-0.0715538
2.325e-05,-0.0716084
2.326e-05,-0.0716196
2.328e-05,-0.0718377
2.330e-05,-0.0717356
2.331e-05,-0.0717259
2.333e-05,-0.0716126
2.334e-05,-0.0716447
2.336e-05,-0.0716042
2.338e-05,-0.0717161
2.339e-05,-0.0717986
2.341e-05,-0.0717426
2.342e-05,-0.0716979
2.344e-05,-0.0715874
2.346e-05,-0.0716447
2.347e-05,-0.0717161
2.349e-05,-0.0718853
2.350e-05,-0.0718391
2.352e-05,-0.0716839
2.354e-05,-0.0715944
2.355e-05,-0.0717063
2.357e-05,-0.0718265
2.358e-05,-0.0718713
2.360e-05,-0.0716923
2.362e-05,-0.0716713
2.363e-05,-0.0717133
2.365e-05,-0.071807
2.366e-05,-0.0717958
2.368e-05,-0.0717566
2.370e-05,-0.0716825
2.371e-05,-0.0716895
2.373e-05,-0.0717762
2.374e-05,-0.0716909
2.376e-05,-0.0718265
2.378e-05,-0.071793
2.379e-05,-0.0716867
2.381e-05,-0.071628
2.382e-05,-0.0716727
2.384e-05,-0.0717972
2.386e-05,-0.0716923
2.387e-05,-0.0717328
2.389e-05,-0.0716517
2.390e-05,-0.0717175
2.392e-05,-0.0717063
2.394e-05,-0.0718098
2.395e-05,-0.0716727
2.397e-05,-0.0716895
2.398e-05,-0.0716629
2.400e-05,-0.0717328
2.402e-05,-0.0716741
2.403e-05,-0.0716629
2.405e-05,-0.0716517
2.406e-05,-0.0716112
2.408e-05,-0.0717021
2.410e-05,-0.0716601
2.411e-05,-0.0716475
2.413e-05,-0.0715189
2.414e-05,-0.0716252
2.416e-05,-0.0716531
2.418e-05,-0.0717133
2.419e-05,-0.0715762
2.421e-05,-0.0714266
2.422e-05,-0.0715357
2.424e-05,-0.0716559
2.426e-05,-0.0717566
2.427e-05,-0.0716461
2.429e-05,-0.0714643
2.430e-05,-0.0714965
2.432e-05,-0.0715203
2.434e-05,-0.0716392
2.435e-05,-0.071572
2.437e-05,-0.0715273
2.438e-05,-0.071558
2.440e-05,-0.0715818
2.442e-05,-0.0715874
2.443e-05,-0.0715818
2.445e-05,-0.0714769
2.446e-05,-0.0715678
2.448e-05,-0.0714769
2.450e-05,-0.0715021
2.451e-05,-0.0715622
2.453e-05,-0.0716573
2.454e-05,-0.0714811
2.456e-05,-0.0714266
2.458e-05,-0.0713651
2.459e-05,-0.0715343
2.461e-05,-0.0715678
2.462e-05,-0.0716937
2.464e-05,-0.0714671
2.466e-05,-0.0713581
2.467e-05,-0.0714336
2.469e-05,-0.0715357
2.470e-05,-0.0715986
2.472e-05,-0.0716364
2.474e-05,-0.0715175
2.475e-05,-0.0714811
2.477e-05,-0.0714364
2.478e-05,-0.0713958
2.480e-05,-0.0714881
2.482e-05,-0.0716447
2.483e-05,-0.0715343
2.485e-05,-0.0714588
2.486e-05,-0.0714657
2.488e-05,-0.0714965
2.490e-05,-0.0714643
2.491e-05,-0.0715175
2.493e-05,-0.0714993
2.494e-05,-0.0715874
2.496e-05,-0.0715413
2.498e-05,-0.0714252
2.499e-05,-0.0714769
2.501e-05,-0.0713874
2.502e-05,-0.071449
2.504e-05,-0.0714182
2.506e-05,-0.0714825
2.507e-05,-0.0715329
2.509e-05,-0.0714126
2.510e-05,-0.0714042
2.512e-05,-0.0713497
2.514e-05,-0.0713595
2.515e-05,-0.0715203
2.517e-05,-0.071449
2.518e-05,-0.071407
2.520e-05,-0.0713525
2.522e-05,-0.0714392
2.523e-05,-0.0714224
2.525e-05,-0.0714797
2.526e-05,-0.0713259
2.528e-05,-0.0714182
2.530e-05,-0.071263
2.531e-05,-0.0714308
2.533e-05,-0.071456
2.534e-05,-0.0715133
2.536e-05,-0.07127
2.538e-05,-0.0713427
2.539e-05,-0.0713329
2.541e-05,-0.0714098
2.542e-05,-0.0714434
2.544e-05,-0.0714084
2.546e-05,-0.0713469
2.547e-05,-0.0714336
2.549e-05,-0.0714014
2.550e-05,-0.0714378
2.552e-05,-0.071263
2.554e-05,-0.0713609
2.555e-05,-0.0711889
2.557e-05,-0.0713679
2.558e-05,-0.071456
2.560e-05,-0.0714098
2.562e-05,-0.0713804
2.563e-05,-0.0713762
2.565e-05,-0.0713371
2.566e-05,-0.0713553
2.568e-05,-0.0713007
2.570e-05,-0.0713245
2.571e-05,-0.0713846
2.573e-05,-0.0714322
2.574e-05,-0.0713455
2.576e-05,-0.0713497
2.578e-05,-0.0713846
2.579e-05,-0.0712965
2.581e-05,-0.0713609
2.582e-05,-0.07127
2.584e-05,-0.0713035
2.586e-05,-0.0711931
2.587e-05,-0.0713161
2.589e-05,-0.0713497
2.590e-05,-0.0714322
2.592e-05,-0.071386
2.594e-05,-0.0713441
2.595e-05,-0.0712336
2.597e-05,-0.0712714
2.598e-05,-0.0713693
2.600e-05,-0.0715147
2.602e-05,-0.0713986
2.603e-05,-0.0712951
2.605e-05,-0.0713133
2.606e-05,-0.0712909
2.608e-05,-0.0713259
2.610e-05,-0.071435
2.611e-05,-0.0714252
2.613e-05,-0.0714518
2.614e-05,-0.0713175
2.616e-05,-0.0714112
2.618e-05,-0.0714294
2.619e-05,-0.0714881
2.621e-05,-0.0715161
2.622e-05,-0.0714532
2.624e-05,-0.071379
2.626e-05,-0.071393
2.627e-05,-0.0713707
2.629e-05,-0.0714699
2.630e-05,-0.0715385
2.632e-05,-0.0715566
2.634e-05,-0.0714923
2.635e-05,-0.0714811
2.637e-05,-0.0715147
2.638e-05,-0.0716657
2.640e-05,-0.0715511
2.642e-05,-0.0716643
2.643e-05,-0.0715161
2.645e-05,-0.0714867
2.646e-05,-0.0715217
2.648e-05,-0.0716755
2.650e-05,-0.0717818
2.651e-05,-0.0716112
2.653e-05,-0.0716475
2.654e-05,-0.0715916
2.656e-05,-0.0716336
2.658e-05,-0.0716489
2.659e-05,-0.0716783
2.661e-05,-0.0715678
2.662e-05,-0.0715552
2.664e-05,-0.0715455
2.666e-05,-0.0716587
2.667e-05,-0.0718042
2.669e-05,-0.0716461
2.670e-05,-0.0715902
2.672e-05,-0.071621
2.674e-05,-0.0715525
2.675e-05,-0.0716587
2.677e-05,-0.0716713
2.678e-05,-0.0716643
2.680e-05,-0.071558
2.682e-05,-0.0715399
2.683e-05,-0.0715077
2.685e-05,-0.0715566
2.686e-05,-0.0715916
